timeStep,randomValue
1,4
2,4
3,5
4,5
5,5
6,5
7,6
8,5
9,5
10,6
11,5
12,4
13,5
14,4
15,3
16,4
17,4
18,3
19,3
20,4
21,5
22,5
23,4
24,4
25,3
26,4
27,5
28,6
29,5
30,6
31,6
32,6
33,6
34,7
35,7
36,6
37,6
38,6
39,7
40,8
41,7
42,7
43,7
44,8
45,9
46,9
47,8
48,9
49,9
50,8
51,8
52,8
53,9
54,9
55,9
56,9
57,10
58,11
59,10
60,11
61,10
62,10
63,9
64,9
65,10
66,11
67,12
68,11
69,12
70,13
71,13
72,14
73,15
74,15
75,15
76,15
77,15
78,15
79,16
80,15
81,16
82,17
83,18
84,19
85,19
86,19
87,19
88,19
89,18
90,18
91,18
92,19
93,18
94,17
95,18
96,19
97,18
98,19
99,18
100,17
101,18
102,18
103,17
104,17
105,17
106,18
107,19
108,18
109,19
110,19
111,20
112,19
113,20
114,20
115,20
116,21
117,21
118,22
119,21
120,20
121,21
122,21
123,20
124,20
125,20
126,21
127,22
128,21
129,22
130,21
131,21
132,20
133,19
134,20
135,20
136,21
137,22
138,21
139,22
140,22
141,22
142,21
143,21
144,21
145,21
146,21
147,20
148,21
149,20
150,19
151,18
152,18
153,17
154,16
155,17
156,17
157,18
158,18
159,19
160,20
161,21
162,20
163,20
164,19
165,19
166,18
167,17
168,18
169,18
170,18
171,18
172,19
173,20
174,20
175,20
176,21
177,21
178,22
179,22
180,21
181,21
182,21
183,21
184,20
185,21
186,21
187,21
188,22
189,23
190,23
191,24
192,25
193,25
194,26
195,25
196,26
197,26
198,25
199,24
200,25
201,26
202,27
203,27
204,28
205,29
206,30
207,29
208,30
209,30
210,29
211,28
212,28
213,27
214,28
215,28
216,27
217,28
218,29
219,30
220,30
221,30
222,29
223,29
224,28
225,29
226,29
227,30
228,30
229,31
230,30
231,31
232,30
233,29
234,28
235,29
236,29
237,29
238,29
239,28
240,29
241,28
242,28
243,29
244,29
245,29
246,28
247,29
248,28
249,28
250,29
251,28
252,27
253,27
254,27
255,26
256,25
257,26
258,27
259,28
260,28
261,27
262,27
263,27
264,27
265,26
266,27
267,28
268,28
269,27
270,28
271,28
272,28
273,28
274,29
275,30
276,31
277,32
278,32
279,33
280,33
281,32
282,31
283,30
284,31
285,30
286,31
287,32
288,31
289,32
290,31
291,31
292,30
293,29
294,28
295,29
296,30
297,31
298,31
299,32
300,32
301,32
302,31
303,32
304,32
305,33
306,34
307,33
308,34
309,34
310,33
311,33
312,33
313,32
314,31
315,31
316,32
317,32
318,31
319,32
320,31
321,32
322,32
323,33
324,34
325,33
326,34
327,33
328,32
329,32
330,33
331,32
332,31
333,30
334,31
335,30
336,30
337,30
338,30
339,30
340,31
341,32
342,32
343,33
344,34
345,34
346,33
347,33
348,33
349,32
350,33
351,32
352,32
353,31
354,31
355,32
356,33
357,33
358,32
359,32
360,33
361,33
362,33
363,32
364,32
365,32
366,33
367,32
368,32
369,33
370,32
371,32
372,32
373,33
374,32
375,33
376,32
377,31
378,31
379,30
380,29
381,30
382,31
383,30
384,29
385,28
386,28
387,28
388,29
389,30
390,30
391,30
392,29
393,29
394,28
395,28
396,27
397,26
398,26
399,27
400,26
401,25
402,26
403,27
404,28
405,27
406,28
407,27
408,26
409,27
410,27
411,27
412,28
413,27
414,26
415,26
416,26
417,27
418,28
419,27
420,26
421,25
422,25
423,24
424,24
425,24
426,24
427,23
428,23
429,22
430,22
431,22
432,21
433,22
434,21
435,22
436,21
437,20
438,19
439,18
440,19
441,19
442,19
443,20
444,19
445,20
446,20
447,19
448,20
449,21
450,20
451,19
452,18
453,17
454,16
455,16
456,15
457,16
458,17
459,18
460,18
461,19
462,20
463,20
464,21
465,20
466,20
467,20
468,19
469,18
470,18
471,17
472,18
473,17
474,16
475,17
476,16
477,16
478,16
479,16
480,17
481,16
482,15
483,14
484,14
485,14
486,14
487,15
488,16
489,16
490,15
491,16
492,15
493,14
494,14
495,15
496,16
497,16
498,15
499,14
500,13
501,14
502,15
503,16
504,15
505,16
506,17
507,18
508,19
509,18
510,18
511,17
512,18
513,19
514,20
515,20
516,21
517,20
518,21
519,20
520,19
521,19
522,20
523,19
524,19
525,20
526,21
